,Unnamed: 0,PMID/PMCID,Publisher,Journal title,Article title,Cost,Cleaned,NewTitle
0,0,,CUP,Psychological Medicine,Reduced parahippocampal cortical thickness in subjects at ultra-high risk for psychosis,0.0,100,Psychological medicine
1,1,PMC3679557,ACS,Biomacromolecules,Structural characterization of a Model Gram-negative bacterial surface using lipopolysaccharides from rough strains of escherichia coli,2381.04,100,
2,2,23043264  PMC3506128 ,ACS,Journal of medicinal chemistry,"Fumaroylamino-4,5-epoxymorphinans and related opioids with irreversible ? opioid receptor antagonist effects.",642.56,100,
3,3,23438330 PMC3646402,ACS,Journal of medicinal chemistry,Orvinols with mixed kappa/mu opioid receptor agonist activity.,669.64,100,
4,4,23438216 PMC3601604 ,ACS,The Journal of organic chemistry,Regioselective opening of myo-inositol orthoesters: mechanism and synthetic utility.,685.88,100,
5,5,PMC3579457,ACS,Journal of Medicinal Chemistry,Comparative Structural and Functional Studies of 4-(Thiazol-5-yl)-2-(phenylamino) pyrimidine-5-carbonitrile CDK9 inhibitors suggest the basis for Isotype Slectivity,2392.2,100,Journal of medicinal chemistry
6,6,PMC3709265,ACS,Journal of Proteome Research,"Mapping Proteolytic Processing in the Secretome of Gastric Cancer-Associated Myofibroblasts Reveals Activation of MMP-1, MMP-2, and MMP?3",2367.95,100,Journal of proteome research
7,7,23057412 PMC3495574 ,ACS,Molecular pharmaceutics,Quantitative silencing of EGFP reporter gene by self-assembled siRNA lipoplexes of LinOS and cholesterol.,649.33,100,
8,8,PMCID: PMC3780468,ACS (Amercian Chemical Society) Publications,ACS Chemical Biology,A Novel Allosteric Inhibitor of the Uridine Diphosphate N-Acetylglucosamine Pyrophosphorylase from Trypanosoma brucei.,1294.59,100,ACS chemical biology
9,9,PMCID: PMC3621575,ACS (Amercian Chemical Society) Publications,ACS Chemical Biology,Chemical proteomic analysis reveals the drugability of the kinome of Trypanosoma brucei.,1294.78,100,ACS chemical biology
10,10,PMCID: PMC3739413,ACS (Amercian Chemical Society) Publications,Journal of Chemical Information and Modeling,Locating Sweet Spots for Screening Hits and Evaluating Pan-Assay Interference Filters from the Performance Analysis of Two Lead-like Libraries,1329.69,100,Journal of chemical information and modeling
11,11,PMCID: PMC3530961,ACS (Amercian Chemical Society) Publications,Journal of Medicinal Chemistry,Synthesis and evaluation of ?-thymidine analogues as novel antimalarials.,1287.2,100,Journal of medicinal chemistry
12,12,PMCID: PMC3624797,ACS (Amercian Chemical Society) Publications,Journal of Medicinal Chemistry,Discovery and structure-activity relationships of pyrrolone antimalarials.,1324.66,100,Journal of medicinal chemistry
13,13, PMC3413243,ACS Publications,Biochemistry,Monomeric 14-3-3 has a chaperone-like activity and is stabilized by phosphorylated HSpB6,665.64,100,
14,14,PMC3694353,ACS Publications,Journal of Medicinal Chemistry,Synthesis and in vitro and in vivo characterization of highly ?1-selective ?-adrenoceptor partial agonists.,1006.72,100,Journal of medicinal chemistry
15,15,PMC3572711,AGA Institute,Gastroenterology,Much of the genetic risk of colorectal cancer is likely to be mediated through susceptibility to adenomas,238.08,100,
16,16,22610094,AMBSB,Journal of Biological Chemistry,Annexin-1 interaction with FPR2/ALX,265.67,100,The Journal of biological chemistry
17,17,PMCID: PMC3586974,American Association of Immunologists,Journal of Immunology,Sialoadhesin ligand expression identifies a subset of CD4+Foxp3- T cells with a distinct activation and glycosylation profile.,2035.0,92,Journal of immunobiology
18,18,23455506  PMCID: PMC3607399 ,American Association of Immunologists,Journal of Immunology,Regulation of Foxp3+ Inducible Regulatory T Cell Stability by SOCS2,3108.08,92,Journal of immunobiology
19,19,PMID: 24015914 PMC3833349 ,American Chemical Society,ACS Chemical Biology,Discovery of an allosteric inhibitor binding site in 3-oxo-acyl-ACP reductase from Pseudomonas aeruginosa,1267.76,100,ACS chemical biology
20,20,: PMC3805332 ,American Chemical Society,ACS Chemical Biology,Synthesis of alpha-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and maltokinase Pep2,2286.73,100,ACS chemical biology
21,21,,American Chemical Society,ACS Chemical Biology,Discovery of ?2 Adrenergic Receptor Ligands Using Biosensor Fragment Screening of Tagged Wild-Type Receptor,947.07,100,ACS chemical biology
22,22,"PMCID:
    PMC3656742
",American Chemical Society,ACS Chemical Neuroscience,Continuous online microdialysis using microfluidic sensors: dynamic neuro-metabolic changes during spreading depolarisation,1186.8,100,ACS chemical neuroscience
23,23,PMCID: 3584654,AMERICAN CHEMICAL SOCIETY,ACS nano,HYDROXY-TERMINATED CONJUGATED POLYMER NANOPARTICLES HAVE NEAR-UNITY BRIGHT FRACTION,642.89,100,
24,24,22971149 PMC3466778,American Chemical Society,American Chemical Society,Characterizing the Fatty Acid Binding Site in the Cavity of Potassium Channel KcsA,1533.29,88,Journal of the American Chemical Society
25,25,23072351,American Chemical Society,Analytical Chemistry,Amphipathic polymers facilitate the study of functional membrane in the gas phase,2082.74,100,Analytical chemistry
26,26,PMC3477822,American Chemical Society,Analytical Chemistry,Quantitative dynamics of phosphorproteome: the devil is in the details,2314.1,100,Analytical chemistry
27,27,PMC3530960,American Chemical Society,Analytical Chemistry,Variable-Pitch Rectangular Cross-section Radiofrequency Coils for the Nitrogen-14 Nuclear Quadrupole Resonance Investigation of Sealed Medicines Packets,759.67,100,Analytical chemistry
28,28,23458425 PMC3630740 ,American Chemical Society,Bioconjugate Chemistry,"Design, synthesis and functional activity of labelled CD'ld glycoupid agonists",1565.26,100,Bioconjugate chemistry
29,29,PMID: 20146481,American Chemical Society,Journal of Medicinal Chemistry,Toward biophysical probes for the 5-HT3 receptor: structure-activity relationship study of granisetron derivatives,572.74,100,Journal of medicinal chemistry
30,30,PMCID: PMC3504484,American Chemical Society,Journal of Medicinal Chemistry,"Design, synthesis and structure-activity relationships of highly potent 5-HT3 receptor ligands",750.66,100,Journal of medicinal chemistry
31,31,PMID:23281892 PMC3579312,American Chemical Society,Journal of Medicinal Chemistry ,A class of 5-nitro-2-furancarboxylamides with potent trypanocidal activity against Trypanosoma brucei in vitro,321.12,98,Journal of medicinal chemistry
32,32,PMC3411196,American Chemical Society,Journal of Proteome Research,Proteomic analysis of extracellular matrix from the hepatic stellate cell line LX-2 identifies CYR61 and Wnt-5a as novel constituents of fibrotic liver,1321.88,100,Journal of proteome research
33,33,PMC3593610,American Chemical Society,Journal of the American Chemical Society,Chemical and structural analysis of an antibody folding intermediate trapped during glycan biosynthesis,1626.14,100,Journal of the American Chemical Society
34,34,23373658,American Chemical Society Publications,ACS nano,"Skin dendritic cell targeting via microneedle arrays laden with antigen-encapsulated poly-D,L-lactide-co-glycolide nanoparticles induces efficient antitumor and antiviral immune responses.",693.39,100,
35,35,PMC3673662,American College of Chest Physicians,Chest,Synthetic response of stimulated respiratory epithelium: modulation by prednisolone and iKK2 inhibition,2383.94,100,
36,36,"PMC3574980

",American Physiological Society,Journal of Neurophysiology,Reliable evaluation of the quantal determinants of synaptic efficacy using Bayesian analysis,1276.08,100,Journal of neurophysiology
37,37,"PMC3680818

",American Physiological Society,Journal of Neurophysiology,"Responses of single corticospinal neurons to intracortical stimulation of primary motor and premotor cortex in the anesthetized macaque monkey"" (JN-01080-2012R1)",1291.02,100,Journal of neurophysiology
38,38,"PMC3602834
",American Physiological Society,Journal of Neurophysiology,Interaction of temporal and ordinal representations in movement sequences,1319.17,100,Journal of neurophysiology
39,39,PMC3234094,American Physiological Society,Journal of Neurophysiology,Endogenous modulation of low frequency oscillations by temporal expectations,1514.35,100,Journal of neurophysiology
40,40,PMCID: PMC3653044,American Physiological Society,Journal of Neurophysiology,The effect of contextual cues on the encoding of motor memories,1551.61,100,Journal of neurophysiology
41,41,3472478,American Physiological Society,Journal of Physiology,Bimodal collagen fibril diameter distributions direct age-related variations in tendon resilience and resistance to rupture,1314.58,100,The Journal of physiology
42,42,"23576705, PMC3727040",American Physiological Society,The Journal of Neurophysiology,Integration of Texture and Disparity Cue to Surface Slant in Dorsal Visual Cortex,1276.6,100,Journal of neurophysiology
43,43,,American Psychiatric Association,American Journal of Psychiatry,Methamphetamine-induced disruption of frontostriatal reward learning signals: relation to psychotic symptoms,2351.73,100,The American journal of psychiatry
44,44,23599091,American Psychiatric Publishing,Americal Journal of Psychiatry,High Loading of Polygenic Risk for ADHD in Children with Comorbid Aggression,2350.02,96,The American journal of psychiatry
45,45,23025831 PMC3462035 ,American Psychological Association,Behavioral Neuroscience,Evidence that the rat hippocampus has contrasting roles in object recognition memory and object recency memory,3021.72,100,Behavioral neuroscience
